qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q613928,Portrait of Antoine-Laurent Lavoisier and his wife,Jacques-Louis David,1788,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,13,8381,40.6,Portrait of Antoine and Marie-Anne Lavoisier,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Portrait%20of%20Monsieur%20Lavoisier%20and%20His%20Wife.jpg
Q4808368,Femme nue couchée,Gustave Courbet,1862,,,,http://www.wikidata.org/.well-known/genid/df4d1f7e70cac6d3745fba4365089894,,,,13,8427,40.6,Femme nue couchée,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%2C%20Femme%20nue%20couch%C3%A9e%2C%201862.jpg
Q2698149,Belisarius Begging for Alms,Jacques-Louis David,1781,France,France,France,Palais des Beaux-Arts de Lille,Palais des Beaux-Arts de Lille,50.6309226,3.0611729,12,9113,40.6,Belisarius Begging for Alms,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Belisarius.jpg
Q4942269,Frenzy of Exultations,Władysław Podkowiński,1893,Poland,Poland,Europe other,National Museum in Kraków,Sukiennice Museum,50.0617,19.9372,12,9056,40.6,Frenzy of Exultations,http://commons.wikimedia.org/wiki/Special:FilePath/Podkowi%C5%84ski-Sza%C5%82%20uniesie%C5%84-MNK.jpg
Q398126,Salisbury Cathedral from the Meadows,John Constable,1831,United Kingdom,United Kingdom,United Kingdom,Tate,National Gallery,51.508888888,-0.128333333,11,9585,40.6,Salisbury Cathedral from the Meadows,http://commons.wikimedia.org/wiki/Special:FilePath/Constable%20Salisbury%20meadows.jpg
Q3630743,Self-Portrait at the Age of 63,Rembrandt,1669,United Kingdom,United Kingdom,United Kingdom,National Gallery,National Gallery,51.508888888,-0.128333333,11,9584,40.6,Self-Portrait at the Age of 63,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20135.jpg
Q2609585,Portrait of Charles V,Titian,1548,Germany,Germany,Germany,Bavarian State Painting Collections,"Alte Pinakothek, upper floor, gallery V",48.149583,11.571776,11,9641,40.6,"Portrait of Charles V (Titian, Munich)",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Charles%20V%2C%20Holy%20Roman%20Emperor%2C%20seated%20%281500%E2%80%931558%29%2C%20formerly%20attributed%20to%20Titian%20%28Alte%20Pinakothek%2C%20Munich%29.jpg
Q15973357,L'Asperge,Édouard Manet,1880,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,10,10247,40.6,A Sprig of Asparagus,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20Asparagus%20-%20Google%20Art%20Project.jpg
Q34191856,Perseus and Andromeda,Titian,1554,United Kingdom,United Kingdom,United Kingdom,Wallace Collection,Wallace Collection,51.517454,-0.153022,10,10190,40.6,Perseus and Andromeda (Titian),http://commons.wikimedia.org/wiki/Special:FilePath/Perseo%20y%20Andr%C3%B3meda%2C%20por%20Tiziano.jpg
Q536024,Nana,Édouard Manet,1877,Germany,Germany,Germany,Hamburger Kunsthalle,Hamburger Kunsthalle,53.555,10.003055555,19,5441,40.5,Nana (Manet),http://commons.wikimedia.org/wiki/Special:FilePath/1877%20Manet%20Nana%20anagoria.jpg
Q2528106,Portrait of Bindo Altoviti,Raphael,1515,United States,United States,United States,"National Gallery of Art (Washington, D.C.)","National Gallery of Art (Washington, D.C.)",38.891388888,-77.02,18,5855,40.5,Portrait of Bindo Altoviti,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio%20-%20Ritratto%20di%20Bindo%20Altoviti.jpg
Q2529703,Portrait of Emile Zola,Édouard Manet,1868,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,17,6217,40.5,Portrait of Emile Zola,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20049.jpg
Q2607050,Small Cowper Madonna,Raphael,1505,United States,United States,United States,"National Gallery of Art (Washington, D.C.)","National Gallery of Art (Washington, D.C.)",38.891388888,-77.02,17,6221,40.5,Small Cowper Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Madonna%20Cowper.jpg
Q3119110,Orphan Girl at the Cemetery,Eugène Delacroix,1824,France,France,France,Department of Paintings of the Louvre,Room 950,,,16,6660,40.5,Orphan Girl at the Cemetery,http://commons.wikimedia.org/wiki/Special:FilePath/Jeune%20Orpheline%20au%20cimeti%C3%A8re%20-%20Eug%C3%A8ne%20Delacroix%20-%20Muse%20du%20Louvre%20Peintures%20RF%201652%20-%20photo%202.jpg
